Norway ,100,,200,,300,,400,,500,,970,984,998,1013,1028,1044,1062,1079,1093,1108,1124,1137,1150,1163,1174,1188,1202,1214,1224,1233,1241,1254,1271,1286,1302,1319,1337,1351,1363,1377,1392,1409,1425,1440,1457,1479,1501,1521,1543,1570,1596,1614,1627,1646,1668,1690,1707,1716,1724,1729,1735,1745,1755,1767,1783,1803,1829,1852,1877,1902,1919,1923,1920,1919,1929,1944,1958,1970,1977,1984,1997,2013,2026,2038,2057,2083,2112,2142,2174,2204,2230,2255,2275,2288,2297,2309,2319,2329,2346,2367,2384,2401,2423,2447,2472,2498,2522,2551,2578,2603,2635,2668,2695,2713,2729,2747,2763,2775,2785,2795,2807,2824,2842,2858,2874,2889,2904,2919,2936,2954,2973,2990,3009,3032,3060,3091,3127,3165,3201,3234,3265.126,3295.871,3327.728,3360.888,3394.246,3427.409,3459.992,3491.938,3522.993,3552.851,3581.239,3609.8,3638.919,3666.54,3694.339,3723.153,3753.628,3786.019,3818.983,3850.977,3877.386,3903.039,3933.004,3960.613,3985.258,4007.313,4026.152,4043.205,4058.671,4072.517,4085.62,4099.702,4114.787,4128.432,4140.095,4152.419,4166.596,4186.147,4208.729,4226.142,4242.006,4261.733,4286.357,4311.964,4336.638,4359.101,4381.277,4405.672,4432.718,4463.377,4492.4,4515.195,4535.591,4555.4,4574.56,4593.041,4610.82,4627.926,4644.457,4661
Sweden ,200,,400,,550,,760,,1260,,2573,2598,2629,2668,2708,2749,2788,2816,2837,2855,2876,2895,2912,2941,2971,3004,3042,3068,3083,3098,3123,3156,3190,3221,3256,3296,3330,3352,3380,3419,3462,3500,3529,3552,3586,3625,3657,3680,3711,3761,3824,3888,3942,3994,4046,4092,4137,4178,4154,4166,4164,4186,4227,4274,4320,4362,4406,4457,4508,4555,4572,4570,4576,4591,4624,4664,4700,4726,4741,4761,4780,4794,4805,4816,4849,4896,4941,4986,5036,5080,5117,5156,5187,5210,5241,5278,5315,5357,5404,5453,5499,5542,5583,5621,5659,5696,5735,5779,5807,5830,5876,5929,5971,5997,6021,6045,6064,6081,6097,6113,6131,6152,6176,6201,6222,6242,6259,6276,6297,6326,6356,6389,6432,6490,6560,6635,6719,6803,6883,6955,7014,7070,7125,7171,7213,7262,7315,7364,7409,7446,7480,7520,7562,7604,7661,7734,7808,7868,7912,7968,8043,8098,8122,8137,8161,8193,8222,8252,8276,8294,8310,8320,8325,8329,8337,8350,8370,8398,8436,8493,8559,8617,8668,8719,8781,8827,8841,8846,8851,8858,8872,8940,8954,8970,8986,9002,9017,9031,9045,9060
Switzerland ,300,,300,,650,,1000,,1200,,1986,1998,2008,2020,2031,2042,2054,2065,2077,2088,2100,2112,2123,2135,2147,2159,2171,2183,2195,2208,2220,2235,2251,2266,2282,2298,2314,2330,2346,2363,2379,2399,2406,2412,2427,2442,2457,2471,2484,2497,2510,2524,2538,2552,2566,2579,2593,2607,2623,2639,2655,2680,2697,2715,2733,2750,2768,2786,2803,2821,2839,2853,2863,2874,2885,2896,2907,2918,2929,2940,2951,2965,3002,3040,3077,3114,3151,3188,3226,3263,3300,3341,3384,3428,3472,3461,3560,3604,3647,3691,3735,3776,3819,3864,3897,3883,3883,3888,3880,3869,3877,3876,3874,3883,3896,3910,3932,3956,3988,4022,4051,4080,4102,4122,4140,4155,4168,4180,4192,4206,4226,4254,4286,4323,4364,4412,4467,4524,4582,4640,4694,4749,4815,4878,4929,4980,5045,5126,5199,5259,5362,5512,5666,5789,5887,5943,5996,6063,6132,6212,6267,6343.293,6401.4,6441.1,6460,6403.5,6333.313,6316.424,6332.568,6350.84,6385.229,6425.45,6468.126,6501.073,6529.684,6563.77,6603.192,6649.942,6704.112,6763.653,6836.626,6920.562,6995.447,7058.211,7114.53,7157.106,7181.024,7193.761,7207.995,7232.809,7266.92,7311.237,7361.757,7408.319,7450.867,7489.37,7523.934,7554.661,7581.52,7604
United Kingdom ,800,,2000,,3942,,6170,,8565,,21239,21551,21832,22117,22407,22698,22996,23275,23560,23847,24139,24433,24684,24937,25194,25452,25715,25968,26223,26483,26745,27004,27277,27511,27785,28040,28272,28118,27683,27429,27181,26945,27076,27248,27446,27697,27978,28186,28422,28660,28888,29128,29401,29630,29842,30089,30315,30572,30845,31127,31400,31685,31874,32177,32501,32839,33200,33576,33932,34304,34623,34935,35206,35450,35724,36015,36313,36598,36881,37178,37485,37802,38134,38490,38859,39221,39599,39987,40381,40773,41155,41538,41893,42246,42611,42981,43361,43737,44124,44520,44916,45268,45426,45649,46049,46340,46514,46614,46575,46534,46821,44072,44372,44596,44915,45059,45232,45389,45578,45672,45866,46074,46335,46520,46666,46868,47081,47289,47494,47991,48226,48216,48400,48789,49016,49182,49217,49519,50014,50312,50127,50290,50430,50593,50765,50946,51184,51430,51652,51956,52372,52807,53292,53625,53991,54350,54643,54959,55214,55461,55632,55907,56079,56210,56224,56215,56206,56179,56167,56228,56314,56382.597,56339.704,56382.623,56462.228,56620.24,56796.26,56981.62,57159.603,57324.472,57493.307,57665.646,57866.349,58026.92,58212.518,58426.014,58618.663,58808.266,59035.652,59293.32,59522.468,59723.243,59912.431,60094.648,60270.708,60441.457,60609.153,60776.238,60943.912,61113
Total 12 Western Europe ,18600,,19700,,48192,,62580,,68796,,114559,115725,116887,118055,119224,120402,121513,122578,123628,124650,125655,126590,127499,128413,129365,130375,131403,132470,133542,134653,135774,136872,137956,138973,140069,141186,142200,142645,142701,143066,143594,144151,144978,145726,146498,147278,148086,148956,149886,150895,151975,153076,154214,155443,156648,157835,158778,159753,160477,161854,162381,162570,163337,164541,165857,167195,168800,170416,171840,173423,174685,175814,176963,178085,179412,180679,181992,183244,184524,185909,187219,188478,189829,191145,192727,194266,196011,197942,199877,201746,203501,205339,207338,209266,211201,213064,215051,216969,219005,221025,223059,225112,226548,227957,230052,230245,230056,229286,227568,222505,223731,222433,223981,225763,227572,229158,230702,231958,233260,234460,235975,237420,238602,239744,240932,242148,243333,244568,246101,247846,248417,247979,249048,249045,249088,247665,246921,249881,252881,255051,257065.594,258789.823,260158.345,261717.344,263258.23,264902.123,266698.236,268558.192,270503.032,272595.739,274720.445,277184.781,280122.531,282653.865,285131.437,287510.925,289655.436,291336.436,292905.636,294864.092,296853.935,298985.549,300726.484,302279.637,303355.947,303826.473,304028.656,304459.187,304927.99,305528.476,306396.696,307115.682,307501.579,307762.793,308090.253,308517.381,309148.203,309825.844,310849.322,312520.209,314193.377,315767.915,317461.031,319046.312,320307.609,321408.666,322410.643,323290.437,324081.016,324959.907,325988.929,327071.099,328021.293,328911.317,329767.362,330584.638,331355.156,332089.756,332772.027,333405
Ireland ,,,,,800,,1000,,1925,,7101,7200,7267,7335,7403,7472,7542,7612,7683,7755,7827,7900,7949,7998,8047,8096,8146,8196,8247,8298,8349,8400,8422,8441,8479,8497,8490,8205,7640,7256,6878,6514,6337,6199,6083,6015,5973,5919,5891,5862,5821,5788,5776,5718,5641,5595,5523,5487,5466,5449,5419,5398,5373,5328,5299,5279,5278,5286,5282,5266,5203,5146,5101,5024,4975,4939,4906,4857,4801,4757,4718,4680,4634,4607,4589,4560,4542,4530,4518,4502,4469,4447,4435,4418,4408,4399,4398,4388,4385,4387,4385,4381,4368,4346,4334,4278,4273,4273,4280,4352,4361,3096,3002,3014,3005,2985,2971,2957,2944,2937,2927,2933,2949,2962,2971,2971,2967,2948,2937,2934,2958,2993,2963,2946,2944,2952,2957,2974,2985,2981,2963.018,2959.311,2952.156,2947.311,2936.769,2916.133,2895.253,2878.22,2851.522,2843.041,2832,2818.3,2830,2850,2864,2876,2884,2900.1,2912.5,2925.6,2950.1,2978.3,3024.4,3073.2,3124.2,3177.3,3227.8,3271.9,3314,3368.2,3401,3443.4,3480,3504,3529,3540,3540.5,3539.9,3529.6,3513.2,3508.2,3530.771,3557.761,3578.349,3595.542,3613.89,3636.179,3667.233,3707.555,3750.141,3791.69,3835.025,3879.155,3924.023,3969.558,4015.676,4062.235,4109.086,4156.119,4203
Greece ,2000,,1000,,1000,,1500,,1500,,2312,2333,2355,2376,2398,2420,2443,2465,2488,2511,2534,2557,2581,2605,2629,2653,2677,2702,2727,2752,2777,2803,2829,2855,2881,2908,2934,2961,2989,3016,3044,3072,3100,3129,3158,3187,3216,3246,3273,3306,3336,3367,3398,3430,3461,3493,3525,3558,3591,3621,3657,3694,3732,3770,3809,3848,3887,3927,3967,4008,4049,4090,4132,4174,4217,4260,4303,4347,4392,4437,4482,4528,4574,4621,4668,4716,4764,4813,4862,4912,4962,4997,5032,5067,5102,5138,5174,5210,5246,5283,5320,5355,5390,5425,5463,5502,5541,5580,5620,5660,5700,5837,5890,6010,6000,5958,6042,6127,6205,6275,6351,6440,6516,6591,6688,6793,6886,6973,7061,7156,7280,7362,7339,7297,7284,7322,7418,7529,7749,7856,7566.028,7646.402,7733.25,7817.095,7893.412,7965.538,8031.013,8096.218,8173.129,8258.162,8327.405,8398.05,8448.233,8479.625,8510.429,8550.333,8613.651,8716.441,8740.765,8772.764,8792.806,8831.036,8888.628,8929.086,8962.023,9046.542,9167.19,9308.479,9429.959,9548.258,9642.505,9729.35,9786.48,9840.526,9887.169,9923.253,9951.37,9974.49,9982.723,10030.765,10129.603,10250.88,10325.429,10382.995,10429.826,10457.554,10479.42,10502.372,10520.068,10536.749,10559.11,10581.515,10603.863,10625.945,10647.529,10668.354,10688.058,10706.29,10722.816,10737
Portugal ,400,,600,,1000,,1100,,2000,,3297,3316,3335,3354,3373,3393,3412,3432,3452,3472,3491,3512,3532,3552,3475,3595,3617,3639,3661,3683,3704,3715,3726,3738,3749,3760,3771,3783,3794,3804,3816,3827,3839,3850,3858,3867,3875,3889,3925,3963,4000,4074,4113,4131,4176,4201,4226,4251,4276,4302,4327,4353,4379,4405,4431,4458,4484,4511,4538,4571,4610,4651,4691,4732,4773,4815,4857,4899,4942,4985,5028,5068,5104,5141,5178,5215,5252,5290,5327,5366,5404,5447,5494,5541,5589,5637,5686,5735,5784,5834,5884,5935,5964,5972,5980,5988,5996,6005,6013,6021,6029,6071,6146,6223,6300,6378,6457,6538,6619,6701,6784,6869,6954,7040,7127,7216,7305,7396,7488,7581,7675,7757,7826,7896,7967,8038,8110,8183,8256,8329,8442.75,8490.25,8526.05,8578.95,8632.1,8692.6,8756,8817.65,8888.55,8961.55,9036.7,9031.2,9019.8,9081.6,9122.5,9128.85,9108.8,9103,9115.05,9097.2,9044.2,8990.45,8970.45,8975.95,9098.3,9411.09,9621.97,9662.6,9698.78,9724.56,9777.8,9850.079,9859.65,9872.243,9885.387,9897.192,9907.411,9915.289,9920.611,9923.147,9922.689,9919.009,9927.68,9967.832,10027.688,10065.543,10099.918,10156.415,10224.828,10283.381,10335.597,10386.753,10433.867,10479.955,10524.145,10566.212,10605.87,10642.836,10676.91,10708
Spain ,3750,,4000,,6800,,8240,,8770,,12203,12284,12366,12449,12532,12615,12699,12784,12869,12955,13041,13128,13216,13304,13392,13482,13571,13662,13753,13845,13937,14030,14123,14217,14312,14407,14503,14600,14697,14795,14894,14974,15055,15136,15217,15299,15381,15455,15526,15584,15642,15699,15754,15809,15864,15920,15976,16032,16088,16144,16201,16258,16315,16372,16429,16487,16545,16603,16677,16768,16859,16951,17043,17136,17230,17323,17418,17513,17600,17678,17757,17836,17916,17996,18076,18157,18238,18320,18402,18484,18566,18659,18788,18919,19050,19133,19316,19450,19585,19721,19858,19994,20128,20263,20398,20535,20673,20811,20950,21091,21232,21411,21628,21847,22069,22292,22518,22747,22977,23210,23445,23675,23897,24122,24349,24579,24810,25043,25279,25517,25757,25979,26182,26387,26594,26802,27012,27223,27437,27651,28062.963,28298.01,28549.87,28804.128,29060.413,29318.745,29579.142,29841.614,30106.188,30372.877,30641.187,30903.894,31158.061,31429.834,31740.862,32084.511,32451.975,32850.275,33239.301,33566.084,33876.479,34195.056,34513.161,34836.716,35184.287,35563.535,35996.78,36439,36861.034,37200.014,37488.36,37750.8,37983.31,38184.166,38362.861,38534.853,38707.556,38880.702,39053.881,39214.523,39350.769,39461.418,39549.438,39627.587,39690.971,39749.715,39803.829,39855.442,39906.235,39953.263,40016.081,40087.104,40152.517,40217.413,40280.78,40341.462,40397.842,40448.191,40491.051,40525
Total 14 small west European countries,300,,260,,276,,358,,394,,657,665,672,678,685,692,698,704,710,716,722,727,733,738,743,749,755,761,767,774,780,787,793,799,805,811,817,820,820,822,825,828,833,837,842,846,851,856,861,867,873,880,886,893,900,907,912,918,922,930,933,941,949,958,966,975,983,992,1000,1009,1018,1027,1036,1045,1054,1064,1073,1082,1092,1101,1111,1121,1131,1140,1150,1161,1171,1181,1191,1202,1212,1223,1234,1244,1255,1266,1277,1289,1300,1311,1323,1334,1346,1358,1362,1367,1371,1376,1380,1384,1389,1393,1398,1402,1407,1411,1416,1420,1425,1429,1434,1439,1443,1448,1453,1457,1462,1467,1471,1476,1481,1485,1490,1495,1500,1505,1510,1514,1519,1524,1528.783,1543.988,1558.853,1573.702,1591.056,1600.124,1613.124,1636.344,1660.843,1681.845,1701.447,1717.29,1728.897,1746.908,1758.806,1773.022,1786.809,1803.087,1819.286,1837.21,1853.404,1868.579,1883.162,1907.107,1928.661,1915.269,1914.382,1922.015,1938.703,1957.477,1990.038,2008.721,2020.267,2030.491,2040.458,2050.875,2064.736,2087.002,2110.752,2131.624,2160.207,2187.6,2216.954,2243.705,2266.959,2284.493,2302.48,2321.494,2340.859,2360.333,2380.159,2399.679,2418.612,2439.111,2460.67,2479.935,2498,2516.299,2533.957,2840
