Norway ,40,,80,,183,,266,,361,,777,,,,,,,,,,938.0638976,872.6175791,894.4330186,1003.510216,1057.973589,1047.141095,1028.936487,1039.844207,1050.751926,1057.973589,1159.829124,1192.552283,1214.367722,1199.773946,1236.183162,1305.240312,1345.260359,1305.240312,1243.404825,1287.035704,1330.666583,1428.83606,1428.83606,1508.876155,1567.025585,1668.805894,1657.898175,1585.230194,1665.195063,1727.03055,1814.217082,1781.493923,1948.795776,1974.222047,2072.391525,2185.079554,2225.582417,2280.457265,2277.767322,2365.536336,2359.849027,2401.274157,2557.67516,2618.00675,2716.842961,2796.849567,2876.010762,2897.914588,2796.388434,2821.135914,2911.671728,2939.109151,2933.652409,2922.662068,2974.770117,3002.207541,3018.73148,3057.082389,3199.803107,3323.309942,3413.845756,3446.816778,3512.681967,3605.984579,3627.965261,3671.849768,3776.142721,3976.42823,4009.399253,4132.906088,4185.014137,4289.30709,4355.172279,4327.734855,4335.958397,4368.852563,4550.001046,4747.596611,4898.540871,5005.523768,5211.342875,5414.472039,5680.622737,5987.967999,6111.474834,6380.469187,6627.406003,6023.70582,5782.148891,6772.89352,7217.425901,6517.656307,7217.425901,7412.254668,7409.564724,7865.087446,7983.060684,8284.949203,8649.936112,9467.755799,10181.28253,9385.443527,9851.95659,10098.89341,10455.65677,10977.12154,11718.00884,12239.47361,12513.84785,13117.62489,12005.2481,12296.29469,11818.43286,11582.77603,10977.87983,12301.76433,13556.70052,15395.39221,16465.60545,16904.75795,17728.03438,18688.49793,19347.14981,20115.55139,21130.88979,21597.40286,22750.00523,23436.09454,23436.09454,24423.99551,25798.24923,27415.21271,28187.2265,29265.20216,30721.92186,32353.41104,33577.02792,35674.72273,36475.86477,38121.9565,38879.4446,40874.153,42955.93873,44851.65721,46731.92774,49175.0113,52058.16963,54279.75556,56172.86095,58690.11011,61594.94169,62189.9572,62319.68933,64551.26648,68364.14615,71918.56066,74507.36231,76038.63188,76005.89142,76732.79102,78333,81165.71063,83844.21832,86129.24103,90656.39337,94606.5912,99577.38444,104744.167,106995,109221,112768,114993,116716,117891,122439,125745,128637,129643,132365
Sweden ,80,,160,,358,,532,,945,,2107,2219,2298,2329,2434,2452,2490,2340,2497,2558,2502,2513,2461,2609,2683,2710,2777,2795,2688,2785,2889,2878,2794,2886,3054,3161,3077,3144,3272,3446,3528,3525,3476,3527,3608,3861,3822,3930,4149,4408,4570,4600,4352,4725,4879,5090,4993,5118,4544,5008,5659,5886,6108,6202,6389,6338,6781,6708,6546,6933,6949,7152,7088,7612,7514,7812,7826,7798,8183,8308,8456,8802,8774,9030,9155,9611,10129,10580,10958,11344,11303,11591,11614,12056,12547,12488,13524,14410,14169,14271,15265,15595,16191,17273,17543,17811,18725,17464,16376,17129,18280,16720,18540,19484,20514,20638,22279,22986,23687,25338,26400,26128,25322,26088,28217,29762,31239,32598,33821,36292,32924,32418,33170,34683,35693,36187,40274,43206,44037,45694,47478,49342,49690,50505,52936,54305,56340,58154,59605,62219,65764,69462,72610,76200,81344,85422,88043,91450,95229,99919,104647,107112,109915,114064,118212,119413,121891,120149,119985,123821,124783,124043,125508,127742,131758,134009,137620,141968,145926,150411,152188,150263,147330,144709,149857,155285,157582,162430,168815,176425,183739,186757,191266,194945,200316,206926,215617,221223,220781
Switzerland ,127.5,,123,,411,,750,,1068,,2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3541,3633,3863,3729,3314,3873,3869,4200,5298,5035,4379,4691,5049,5047,4778,5183,5135,4514,5333,5836,5581,5964,5684,5844,6550,7275,7109,6416,6535,6517,6955,7078,6870,6887,7666,8268,8593,8554,8757,8766,9389,8856,9627,10014,9783,10861,11142,11716,11927,12513,12649,12511,12801,12554,13223,13543,14972,15110,14873,15648,16177,16530,16701,16483,16496.48609,16658.31918,16605.87327,14789.74636,14737.30045,15706.80055,16725.74964,16310.67773,17890.04882,18925.48091,19631.253,21065.274,22120.186,23306.962,24609.119,25466.235,25301.405,24246.493,23422.343,24592.636,24642.085,24543.187,24625.602,25795.895,26784.875,26751.909,27032.12,26850.807,26175.004,25944.242,26570.596,34202.225,36542.811,40943.772,41767.922,40630.595,42545,45990,46369,48001,50705,54117,57710,60002,58732,62425,66793,72200,75661,79370,83541,86195,88305,91008,94272,99584,105935,110253,113781,117251,118957,110294,108745,111392,111847,114634,119909,121802,120051,120659,124311,128561,130653,131614,135709,141599,146900,145681.8955,145721.0525,145386.7663,146937.2737,147494.5351,148264.1389,151092.3886,155651,157653,163323,165191,165907,165515,169781,174195,180466,186963,190328
United Kingdom ,320,,800,,2815,,6007,,10709,,36232,,,,,,,,,,42228,44249,43800,44249,46046,48517,50314,49640,52336,54806,53234,52111,50988,51886,55031,57951,61770,62219,62893,64016,63342,66037,67160,69631,71428,71203,76370,77717,77942,79964,81760,84007,84680,85354,87600,90296,91644,90745,93665,94339,100179.628,105570.46,105795.078,108265.876,110062.82,112758.236,113881.326,115004.416,115453.652,115004.416,120395.248,124662.99,128256.878,129155.35,129379.968,128706.114,130727.676,135893.89,141958.576,149595.588,150269.442,150269.442,146675.554,146675.554,156558.746,161500.342,168238.882,170485.062,178795.928,186208.322,184860.614,184860.614,189577.592,187556.03,188679.12,194294.57,200808.492,204626.998,196316.132,200808.492,207097.796,213162.482,216307.134,224618,226864.18,245058.238,250449.07,252695.25,254267.576,226639.562,212937.864,195642.278,205750.088,212264.01,221024.112,231805.776,223270.292,241239.732,244159.766,251347.542,249550.598,236747.372,238544.316,245507.474,261679.97,271787.78,284141.77,294024.962,297618.85,300538.884,330637.696,360736.508,369721.228,377807.476,362982.688,347034.81,331985.404,327043.808,337376.236,349954.844,347850,358234,357585,371646,386789,400850,405825,412315,411450,428107,452768,467694,472454,490625,516584,529996,540163,552277,574775,585207,599016,611705,633352,675941,666755,665984,680933,695699,720501,740370,728224,718733,729861,755779,774665,802000,837280,877143,920841,940908,944610,931716.3072,933534.8405,955304.8933,997587.1758,1026043.723,1054948.361,1089522.136,1123047,1157194,1211453,1229700,1254905,1289685,1331721,1361019,1400488,1436901,1446959
Total 12 Western Europe ,11146,,8366,,38426,,56690,,70702,,141408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237189.6666,,,,,,,,,,,,,,,,,,,,337710.325,343990.5816,356714.8901,359268.8651,377887.1932,386615.3065,380530.7656,385242.1861,390215.2126,383340.0969,399789.2374,407434.5968,421408.839,429878.0757,433294.369,435885.9504,443723.212,457216.1589,469758.9138,481809.5734,493244.182,495105.0354,497652.5637,509141.0661,526944.9632,540209.2968,559504.5805,565858.5166,592644.2165,615560.7415,624219.742,623627.2072,630989.986,645501.0814,657607.9079,675664.7227,697550.2428,726429.4769,723087.6039,746002.278,752720.7763,787285.9097,815741.9786,840481.968,791530.6041,806661.0468,837479.1678,812666.8848,782317.9133,723553.1004,741117.6878,737523.5676,803104.5979,794099.5509,859603.8916,906250.3173,918230.3402,959924.8939,1002662.72,1029947.35,1014062.826,962123.5575,931870.0715,967170.0919,1006850.228,1050586.048,1100979.264,1156685.556,1189456.953,1261104.089,1240066.906,1253150.674,1244058.316,1243487.091,1189732.619,1027871.937,967156.6383,1034018.264,1110228.279,1204137.222,1286643.034,1360880.498,1408010.15,1482445.551,1563765.89,1663674.403,1736764.005,1813652.095,1856687.095,1952579.996,2083673.249,2186942.213,2287608.227,2386210.202,2525406.922,2624898.411,2716726.028,2805156.723,2950543.865,3112702.956,3243118.445,3344676.153,3476248.939,3664830.657,3734793.928,3703845.011,3861124.17,3964828.756,4076083.861,4230093.11,4289882.942,4295710.957,4327230.689,4407012.266,4517280.146,4630347.561,4759311.362,4884239.632,5071671.891,5235114.791,5277592,5366507.066,5435201.766,5426318.397,5582309.443,5721433.152,5815900.952,5964849.015,6110619,6278174,6517572,6618129,6674324,6732461,6874727,6985549,7185190,7360323,7402911
Ireland ,,,,,421,,615,,1377,,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11891,,,,,,,,7841,7800,7760,7720,7680,7640,7845,8058,8294,8480,8716,8508,8294,8562,8812,9056,8716,8965,8955,9028,9135,9043,8991,8985,8912,9025,9196,9643,10148,10231,10488,10753,11043,11142,11432,11283,11266,11034,11481,12127,12706,13120,13741,14279,14528,14652,15521,16804,17815,18289,18923,20151,21103,22002,23246,23571,25506,27340,28180,29047,30013,30698,30624,31957,32943,32802,34331,36123,38223,41459,42258.99783,43671.81477,44847.69968,47429.07539,51998.5709,56291.67902,62866.99594,67719,74709,81716,86691,92412,96537,100745,106991,112769,119535,115949
Greece ,1100,,400,,433,,725,,795,,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,,,,,,,,,,,,,,,,,,,,3218,,,,,,,,,,,,,,,,,,,,5280,,,,,,,,,,6704,,,,,,,,,,,,,8635,8208,6289,5385,4733,8037,7212,8166,11196,11565,11947,12341,12748,13169,13603,13864,14696,14342,13746,14912,15784,16173,16846,16907,19307,18901,18875,16183,13796,11588,9683,8129,6865,10284,13272,13936,14679,14489,15765,15878,18053,18615,20022,21731,23147,24218,25107,26195,28492,29562,32567,35243,38553,40907,43152,46027,50585,54609,58496,65775,68355,65868,69853,74296,76843,81989,85015,86505,86553,86895,87244,89645,92442,93941,93507,97670,101425,101452,104597.0515,105329.2261,103643.9005,105716.8542,107936.6,110482.1888,114501.0584,118329,122405,127880,133600,138834,145837,152462,156883,163943,170501,175445
Portugal ,180,,255,,606,,814,,1638,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,3793,,,,3552,,,,,,3597,,,,3745,3887,4000,4042,4148,4219,4061,4179,4353,4282,4277,4177,4372,4375,4384,4367,4513,4655,4770,4934,5064,5343,5457,5523,5425,5671,5572,5548,5660,5587,5827,5908,6251,6469,6701,7037,6914,6954,7054,7148,6950,6997,7165,7052,7048,7225,7369,7494,7467,7520,7352,7397,7281,6913,7064,7411,7831,8788,9169,8828,9223,9163,10772,9732,10789,10656,11204,11422,12194,12714,12041,11124,12997,13084,13259,12396,13551,13369,14263,15079,14497,15635,16943,16894,17129,17615,18404,18428,19714,20660,21512,22451,23445,23753,25039,26711,28170,30040,31823,33921,36446,37929,40792,44421,45364,49498,52781,57011,63397,64122,61334,65566,69239,71189,75203,78655,79928,81634,81492,79961,82206,85610,91073,97894,102922,107427,112119.5251,113341.0531,111025.2218,112096.4267,116897.2333,121142.6495,126210.1002,132300,137341,142770,145636,146782,145636,147841,149172,151260,154132,154132
Spain ,1867,,1800,,4495,,7029,,7481,,12299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16066,16311,17053,17192,17506,18391,17892,17489,17902,18700,19336,19595,19729,20190,20206,19586,20612,20566,18490,19073,19556,21104,24034,26156,23968,24670,25136,27701,26982,25492,27750,28462,28831,29480,29561,28774,28157,27765,28890,28823,28839,29495,31707,30597,30939,30668,28224,29659,31945,32457,33164,35471,34440,34600,34485,34005,35760,36885,38331,38998,37633,40332,40028,41653,41075,41746,43687,43150,42844,43112,46226,47370,49390,50028,51443,54627,54424,59140,59371,63570,61435,59871,61163,59966,62231,63482,49343,45272,45255,48856,53585,52726,55670,57724,60407,56326,58854,59823,59970,59583,61429,67533,73044,72806,78335,81457,88083,90901,94829,92651,94119,106187,118386,130477,143308,152794,164199,175227,185747,202472,214070,226319,245019,266896,286732,296824,309546,321868,332597,337333,344987,346768,352979,361902,367170,374627,386998,409027,431389,454166,474366,486443.3446,490963.4675,485899.183,497479.1766,511197.1511,523519.6721,543757.7552,568115,594177,625120,647941,665441,686076,708466,733971,763330,790809,797927
Total 14 small west European countries,140,,104,,199,,250,,311,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,1495,,,,,,,,,,,,,,,,,,,,2253,,,,,,,,,,2862,,,,,,,,,,,,,3843,3594,3673,3822,3732,3634,3446,3523,3346,3843,3780,4072,4278,4317,4503,4694,4810,4719,4462,4615,4470,4647,4837,5061,5311,5438,5743,5663,5753,5713,5729,5499,4798,4544,4801,5114,5517,5880,5746,6180,6436,6647,7001,7427,7752,7966,8279,8487,8876,9269,9756,10165,10877,11398,11862,12261,13144,13713,14651,15548,16452,16510,16005,17038,18095,19058,20007,20768,21257,21886,22385,23512,24313,25556,26754,28385,30000,31205,32342,33161,34633,35838,36899,38136,39918,39975,41210,42483,43795,45148,46543,47980,48753,50146,51368,51665
